input_item,output_item,input_count,output_count
molten_dirt_bucket,dirt,1,2
molten_stone_bucket,stone,1,2
molten_copper_bucket,copper_ingot,1,1
molten_iron_bucket,iron_ingot,1,1
molten_gold_bucket,gold_ingot,1,1
molten_diamond_bucket,diamond,1,1
molten_netherite_bucket,netherite_ingot,1,1
molten_lapis_bucket,lapis_lazuli,1,2
molten_redstone_bucket,redstone,1,2
molten_oak_bucket,oak_planks,1,2
molten_sand_bucket,sand,1,2
molten_andesite_bucket,andesite,1,2
molten_snow_bucket,snow,1,2
molten_ice_bucket,ice,1,2
molten_mud_bucket,mud,1,2
molten_clay_bucket,clay,1,2
molten_red_sand_bucket,red_sand,1,2
molten_moss_bucket,moss_block,1,2
molten_deepslate_bucket,deepslate,1,2
molten_granite_bucket,granite,1,2
molten_diorite_bucket,diorite,1,2
molten_calcite_bucket,calcite,1,2
molten_tuff_bucket,tuff,1,2
molten_dripstone_bucket,pointed_dripstone,1,2
molten_prismarine_bucket,prismarine_shard,1,2
molten_magma_bucket,magma_block,1,2
molten_obsidian_bucket,obsidian,1,2
molten_netherrack_bucket,netherrack,1,2
molten_soul_sand_bucket,soul_sand,1,2
molten_soul_soil_bucket,soul_soil,1,2
molten_blackstone_bucket,blackstone,1,2
molten_basalt_bucket,basalt,1,2
molten_endstone_bucket,end_stone,1,2
molten_quartz_bucket,quartz,1,2
molten_glowstone_bucket,glowstone_dust,1,2
molten_amethyst_bucket,amethyst_shard,1,2
molten_brown_mushroom_bucket,brown_mushroom,1,2
molten_red_mushroom_bucket,red_mushroom,1,2
molten_cactus_bucket,cactus,1,2
molten_coal_bucket,coal,1,2
molten_gravel_bucket,gravel,1,2
